10	600
216	8062	8063
216	8069	8078
216	8068	8071
158	5983	6006
158	5994	6015
158	5981	6005
158	5977	6003
158	5987	6008
158	5995	6016
158	5992	6013
158	5984	6007
158	5990	6011
158	5976	6003
158	5979	6004
223	8226	8239
223	8222	8228
130	4865	4912
130	4902	4903
130	4889	4901
130	4862	4884
130	4887	4903
130	4876	4892
130	4869	4889
130	4871	4892
130	4874	4911
130	4903	4914
130	4903	4908
264	9491	9514
75	2868	2890
75	2871	2892
75	2870	2891
75	2879	2900
75	2875	2896
75	2878	2899
75	2873	2894
75	2872	2893
75	2867	2889
75	2865	2888
75	2874	2895
306	10936	10953
306	10942	10955
306	10935	10959
306	10937	10954
306	10935	10952
306	10943	10955
306	10941	10958
282	10099	10102
282	10114	10120
282	10107	10112
282	10101	10103
282	10112	10113
294	10445	10463
294	10462	10474
294	10443	10462
294	10452	10466
294	10463	10476
294	10447	10464
95	3578	3592
95	3587	3588
95	3587	3590
95	3592	3597
95	3583	3593
95	3581	3587
95	3587	3598
95	3586	3589
177	6748	6765
177	6758	6772
177	6741	6762
177	6733	6753
177	6750	6766
177	6736	6760
177	6755	6768
177	6756	6770
177	6737	6761
177	6746	6764
177	6757	6771
0	0001	0032
0	0002	0033
0	0000	0031
150	5650	5678
150	5658	5686
150	5651	5679
150	5649	5676
150	5657	5685
150	5646	5674
150	5645	5673
150	5656	5685
150	5653	5682
309	11050	11061
309	11079	11086
309	11060	11068
309	11057	11062
309	11070	11076
309	11041	11081
309	11065	11074
309	11047	11076
309	11061	11072
309	11056	11082
309	11052	11078
443	16515	16537
443	16506	16535
443	16512	16536
121	4554	4561
121	4555	4573
121	4568	4572
121	4553	4566
121	4552	4568
121	4552	4554
121	4548	4550
121	4548	4555
121	4558	4571
121	4554	4572
121	4545	4550
335	12118	12128
335	12119	12129
335	12113	12139
335	12110	12125
335	12121	12131
335	12122	12133
335	12106	12107
335	12105	12112
335	12106	12108
335	12120	12130
248	8839	8852
248	8825	8846
248	8840	8849
248	8840	8852
248	8839	8849
248	8832	8836
248	8826	8832
248	8837	8844
248	8827	8832
248	8829	8863
210	7924	7928
210	7917	7928
155	5856	5878
155	5863	5882
155	5861	5876
155	5868	5878
155	5867	5884
155	5862	5877
155	5878	5888
155	5867	5885
155	5853	5878
155	5861	5877
155	5862	5876
233	8489	8492
233	8482	8489
160	6056	6057
160	6072	6090
160	6080	6089
160	6078	6097
160	6073	6090
160	6065	6096
160	6070	6085
160	6065	6084
