10	250
2935123	7	22
2940434	1	4
2940434	1	12
2940434	12	16
2940434	4	16
2952107	8	26
2952107	19	60
2952107	8	50
2980899	3	5
2984743	1	4
3010029	43	46
3010029	43	45
3012064	36	59
3012064	53	59
3012064	16	23
3014081	9	16
3014081	5	16
3018179	6	18
3018179	8	18
3018179	2	18
3018179	2	8
3018796	50	69
3018796	29	75
3019764	8	11
3038155	28	37
3038155	8	42
3038155	8	37
3040363	36	41
3040363	5	30
3040363	46	52
3040363	30	36
3040363	5	36
3056569	8	41
3056569	18	19
3056569	31	49
3056569	18	49
3068246	3	6
3083350	4	17
3083350	8	17
3083350	4	8
3089930	6	10
3104621	33	38
3109458	6	13
3124220	16	34
3135437	20	26
3135437	23	26
3148464	7	17
3155377	1	8
3185569	6	12
3188373	49	50
3188373	13	50
3205229	27	52
3205229	24	62
3208606	4	10
3208606	4	9
3208606	9	10
3211555	7	11
3240008	1	12
3241429	11	21
3269734	4	7
3269734	7	11
3269734	5	7
3279084	3	34
3279084	27	34
3279084	3	7
3279084	7	34
3279125	4	16
3292846	46	66
3292846	2	83
3292846	62	75
3341618	12	13
3341618	12	16
3341618	4	16
3345359	11	28
3378752	39	43
3382024	29	30
3382024	25	29
3382024	13	25
3399968	9	16
3399968	1	16
3399968	1	36
3399968	3	36
3413756	10	22
3413756	14	22
3428515	89	137
3428515	52	73
3437260	17	25
3437260	13	25
3437260	17	21
3437260	13	17
3441675	7	53
3441675	13	22
3441675	4	61
3441675	44	53
3441675	7	22
3441675	7	17
3492983	20	21
3492983	12	28
3492983	3	20
3499499	19	31
3515381	60	78
3515381	4	25
3515381	60	62
3515381	11	15
3515381	15	56
3529629	15	17
3529629	1	11
3529629	1	15
3529629	1	17
3542131	5	10
3542131	3	10
3542131	3	5
3556021	4	9
3556021	4	13
3568265	13	22
3568265	9	29
3610536	8	15
3610536	13	15
3610536	8	13
3614131	2	41
3614131	32	41
3617800	4	15
3637437	7	9
3638582	12	13
3638582	6	12
3725626	5	24
3775423	4	22
3775423	4	8
3775423	8	19
3794219	9	11
3794375	35	41
3794375	9	27
3794375	39	41
3794375	8	39
3798384	12	14
3798384	5	14
3845763	23	25
3845763	3	23
3845763	3	25
3845763	10	23
3864922	5	15
3864922	1	15
3912429	8	13
3912429	3	13
3931810	3	12
3931810	7	56
3931810	12	51
3931810	3	51
3978642	21	66
3981496	12	15
3981496	15	19
4089170	8	14
4089170	8	13
4089170	13	14
4089170	14	26
4089170	13	27
4089170	26	27
4090878	21	23
4090878	6	29
4137167	29	33
4137167	5	39
4288659	1	3
4288659	3	9
4288659	1	9
4306222	2	7
4306222	2	14
4315795	2	7
4315795	2	18
4315795	7	18
4315795	2	4
4315795	4	7
4358560	12	19
4358560	12	22
4358560	19	22
4391932	7	54
4391932	5	9
4391932	9	54
4391932	7	27
4391932	39	88
4476068	4	8
4476068	2	15
4480988	5	9
4480988	3	9
4486486	7	12
4486486	1	7
4486486	12	14
4487976	15	17
4487976	15	24
4519587	24	39
4519587	30	39
4525233	4	35
4525233	21	35
4525233	4	21
4525233	4	31
4555351	5	30
4555351	5	9
4555351	9	28
4555351	9	30
4739096	34	41
4739096	21	29
4739096	51	86
4739096	2	38
4739096	4	21
4751000	3	5
4751000	3	20
4876284	16	25
4876284	2	16
4876284	2	25
4959070	15	20
5052065	21	23
5052065	17	21
5052065	13	21
5052065	13	23
5052211	15	32
5073287	12	14
5092806	6	16
5110983	14	17
5110983	9	17
5110983	9	14
5136263	6	12
5223413	7	46
5223413	14	20
5223413	43	46
5223413	20	46
5223413	20	43
5223413	14	46
5223413	7	31
5559534	7	9
5617665	18	23
5681403	2	15
5728349	6	7
5743918	6	9
5743918	6	22
5743918	6	24
5743918	2	24
5743918	22	24
5809867	8	16
5809867	7	16
5809867	6	16
5903584	30	32
5903584	23	30
5903584	15	30
5903584	1	25
5903584	23	25
5949163	1	5
5971068	12	17
6219361	15	22
6219361	6	22
6219361	6	33
6234845	6	12
2935123	7	3014081	5
2935123	7	5073287	12
2935123	7	3978642	21
2940434	4	3478560	6
2940434	12	5617665	23
2940434	16	3135437	26
2940434	16	3148464	17
2940434	12	3378752	43
2952107	42	3382024	30
2980899	5	3205229	66
2980899	5	3010029	45
2980899	3	3798384	5
2980899	3	4480973	5
2984460	29	3319591	31
2984460	27	3638582	13
2984460	1	3515381	15
2984743	4	5559534	7
2999417	2	3345359	28
2999417	2	3981496	19
2999417	2	5681403	15
2999417	2	5073287	14
3002919	7	4739096	51
3002919	7	4480988	3
3002919	7	5092806	16
3002919	7	5052065	17
